,sample_hash,bad_imports,connections_num,crypto_usage,modification_rate,ip_reputation,max_entropy,bytes_download,bytes_upload,started_processes
0,90a0c09f00c69eb9130afa13fffd651ab55737e9a4df93e88b9d3954b9322c74,4,9,0,5.54180602006689,0,7.7653813394047315,0,0,20
1,0b1008d91459937c9d103a900d8e134461db27c602a6db5e082ab9139670ccb6,3,0,1,5.51505016722408,0,7.017339066251461,0,0,15
2,095e034f40d66ed6bd3b70233ab0080f21a8b960745461577420c4570ffc6252,3,0,1,10.57190635451505,0,6.499513460862983,0,0,37
3,473bcbcba12296b08b765b4f7c2beea5f56f263d5e6c0d15c1006af28f6172e8,3,0,1,68.72575250836121,0,6.694101051516225,0,0,2
4,b2f298d16917811409c0140cfed659baa2b8c14e1677da0444d6e658b5e6979c,3,10,1,107.8702928870293,17,6.542796424298243,93696,8419,12
5,a9643eb83d509ad4eac20a2a89d8571f8d781979ad078e89f5b75b4bcb16f65e,4,0,0,0.1864406779661017,0,7.267142555653904,0,0,20
6,a9643eb83d509ad4eac20a2a89d8571f8d781979ad078e89f5b75b4bcb16f65e,4,0,0,0.22033898305084745,0,7.267142555653904,0,0,22
7,3a6ebac4f83f8b9088c9e00a25d88a56fb7e46b7b8a03158682a5d7d28f0f6ca,4,0,1,0.06779661016949153,0,7.737801272997202,0,0,4
8,4a64e31b6f1712e0eac920b8440bdc8fea1c3831405912ba483c3f2b18a28fc4,3,3,1,133.42016806722688,0,7.640575189117479,0,306,22
9,9e42c9cc5824f9c21f7e673dbd9c68dfc8cd11cf9cc4e2b1069d07cea1b30bdc,4,0,2,0.6949152542372882,0,6.673520056843694,0,0,20
10,a9643eb83d509ad4eac20a2a89d8571f8d781979ad078e89f5b75b4bcb16f65e,4,0,0,7.070588235294117,0,7.267142555653904,0,0,23
11,1fcc6f01f4a82d12a844466a5429c64f7f9d5947fdedcda19692540e14fa2ea0,3,0,1,10.23728813559322,0,7.640575189117479,0,0,22
12,fe0de9a669050700bb637fdfef8a44b3717f6ab52b3825981952e108f9e03d24,4,41,0,20.156626506024097,0,7.5669961253829765,0,6042,25
13,8f368b029a3a5517cb133529274834585d087a2d3a5875d03ea38e5774019c8a,3,0,1,6.933054393305439,0,6.512383378507788,0,0,13
14,781bc4dcbd459893397a8b987bf697f5b95435dfaf7fe3f4d2224728e7a2202a,3,0,1,5.504587155963303,0,6.537236790818107,0,0,13
